#{"t_start": 1671033145.797176, "env_id": "Breakout-v0"}
r,l,t
2.0,305,1.423993
4.0,431,2.887997
1.0,250,3.537853
5.0,475,5.180302
1.0,246,5.936306
0.0,191,6.508308
2.0,285,7.434303
2.0,312,8.440304
2.0,286,9.332303
2.0,318,10.225482
1.0,261,10.955483
0.0,194,11.509483
5.0,513,13.165484
0.0,189,13.70277
1.0,250,14.514768
2.0,314,15.45477
0.0,207,16.02477
5.0,453,17.584766
2.0,296,18.428768
1.0,270,19.132771
3.0,350,20.200769
2.0,301,21.126769
2.0,302,22.02877
1.0,275,22.828775
0.0,183,23.308767
0.0,186,23.856769
2.0,292,24.718771
0.0,190,25.225847
2.0,301,26.09785
2.0,288,26.971849
2.0,322,27.95985
0.0,204,28.501849
4.0,426,29.863852
2.0,321,30.817848
0.0,219,31.351849
2.0,296,32.253855
0.0,179,32.72185
0.0,190,261.291889
1.0,236,261.941889
0.0,204,262.51989
2.0,303,263.599996
0.0,210,264.178096
2.0,306,265.11217
1.0,260,265.834169
2.0,308,266.864169
4.0,403,268.25217
5.0,506,269.88317
2.0,273,270.782168
1.0,270,271.58917
4.0,454,273.23132
2.0,314,274.259322
0.0,215,274.829837
0.0,180,275.303838
2.0,332,276.368838
0.0,187,276.911837
6.0,509,278.540838
3.0,337,279.652837
1.0,248,280.468838
1.0,251,281.157838
1.0,234,281.873838
2.0,348,283.023838
2.0,311,283.971838
2.0,320,285.001838
0.0,197,285.616838
1.0,264,286.461838
2.0,321,287.440838
4.0,391,288.716841
1.0,269,289.541837
2.0,305,290.544838
4.0,414,291.897839
2.0,297,292.889839
4.0,382,294.292839
1.0,273,531.272709
0.0,208,531.79471
4.0,428,533.17271
1.0,241,533.834709
4.0,421,535.209712
2.0,311,536.219708
1.0,265,537.00671
2.0,341,537.97371
4.0,424,539.39471
2.0,300,540.24571
0.0,200,540.792709
3.0,349,541.85271
2.0,281,542.653709
2.0,305,543.59471
4.0,403,544.99371
1.0,244,545.699708
2.0,298,546.64071
8.0,586,548.562711
1.0,266,549.34371
2.0,282,550.186708
2.0,296,551.09471
0.0,202,551.595708
1.0,244,552.277709
2.0,300,553.234711
2.0,321,554.13571
6.0,471,555.80771
2.0,349,556.807708
3.0,377,558.019708
0.0,213,558.641708
1.0,242,559.307708
1.0,242,560.020709
2.0,295,560.94571
2.0,326,561.88471
2.0,309,562.921709
3.0,394,794.861767
5.0,465,796.435338
6.0,523,798.302338
7.0,545,800.119336
1.0,229,800.753337
3.0,350,801.924338
2.0,299,802.783339
3.0,340,803.818337
6.0,452,805.271849
2.0,283,806.133848
2.0,284,806.981359
4.0,404,808.287358
1.0,259,809.048363
0.0,195,809.537357
3.0,372,810.740358
3.0,350,811.771359
0.0,194,812.220359
2.0,297,813.111899
0.0,197,813.700898
4.0,388,814.902896
5.0,470,816.427898
2.0,284,817.331899
3.0,390,818.663897
2.0,289,819.558898
3.0,364,820.656897
2.0,334,821.626898
0.0,192,822.102897
6.0,529,823.835409
2.0,289,824.73341
4.0,419,826.12341
7.0,563,1058.43814
9.0,586,1060.39314
5.0,433,1061.775141
2.0,286,1062.623142
5.0,425,1063.961141
5.0,455,1065.493226
6.0,534,1067.269228
3.0,329,1068.231227
2.0,289,1069.096227
6.0,483,1070.663226
4.0,380,1071.928226
2.0,314,1072.865228
8.0,553,1074.656225
6.0,485,1076.399227
6.0,525,1078.020225
6.0,495,1079.634227
2.0,286,1080.416225
12.0,653,1082.795226
10.0,706,1085.235226
6.0,588,1087.145225
3.0,385,1308.722792
3.0,333,1309.706791
5.0,444,1311.114793
2.0,314,1311.962793
5.0,491,1313.526793
1.0,264,1314.214795
8.0,641,1316.242796
10.0,756,1318.670794
7.0,619,1320.540796
5.0,470,1321.980794
1.0,249,1322.606796
5.0,473,1324.070793
4.0,395,1325.210793
9.0,698,1327.426792
8.0,625,1329.440794
5.0,453,1330.950791
3.0,346,1331.904794
6.0,473,1333.296792
7.0,557,1335.138792
6.0,458,1336.518793
6.0,485,1548.811152
5.0,441,1550.119148
4.0,416,1551.35515
1.0,229,1552.003153
9.0,626,1553.99715
8.0,673,1556.103152
11.0,749,1558.449151
14.0,822,1561.081149
5.0,448,1562.415148
6.0,485,1563.82315
4.0,453,1565.21915
7.0,570,1567.01315
5.0,424,1568.303151
4.0,382,1569.463151
3.0,326,1570.439149
7.0,521,1572.063152
3.0,346,1573.02915
1.0,264,1573.699152
9.0,651,1575.779151
7.0,560,1577.57715
8.0,616,1785.160185
6.0,520,1786.746185
3.0,343,1787.732186
5.0,509,1789.323347
8.0,585,1791.095348
9.0,660,1793.097349
2.0,279,1793.817347
6.0,499,1795.379347
3.0,317,1796.243348
4.0,440,1797.601346
10.0,707,1799.825348
1.0,249,1800.525348
7.0,564,1802.27735
8.0,553,1804.001349
7.0,535,1805.615348
4.0,389,1806.68135
6.0,530,1808.289346
8.0,563,1810.119349
11.0,761,1812.56735
5.0,438,2017.751198
4.0,362,2018.815197
3.0,343,2019.8132
7.0,512,2021.403197
9.0,638,2023.383198
4.0,384,2024.517198
8.0,569,2026.247197
5.0,473,2027.6092
6.0,504,2029.159198
7.0,517,2030.785197
6.0,479,2032.241202
7.0,527,2033.857198
2.0,307,2034.735205
4.0,405,2035.9292
5.0,434,2037.227198
1.0,231,2037.8512
5.0,411,2039.089205
5.0,506,2040.621197
4.0,375,2041.7232
3.0,334,2042.6932
6.0,514,2044.241197
10.0,587,2250.950296
5.0,457,2252.352297
2.0,282,2253.128299
8.0,610,2255.014297
6.0,454,2256.354298
3.0,299,2257.190296
7.0,556,2258.898297
9.0,649,2260.970295
8.0,596,2262.882297
4.0,379,2263.988296
11.0,583,2265.902297
10.0,506,2267.438296
9.0,633,2269.450297
10.0,669,2271.588298
4.0,379,2272.686296
5.0,479,2274.128297
3.0,340,2275.078294
8.0,577,2276.816295
8.0,586,2278.626295
7.0,498,2488.943701
5.0,471,2490.381698
2.0,332,2491.295699
4.0,391,2492.385701
5.0,429,2493.665702
5.0,439,2494.9677
2.0,293,2495.743697
14.0,749,2498.105699
8.0,609,2500.013699
6.0,515,2501.627698
10.0,725,2503.921701
5.0,385,2505.0317
10.0,647,2507.089701
6.0,492,2508.5137
7.0,568,2510.265697
3.0,397,2511.445701
6.0,505,2512.993699
13.0,600,2514.909697
6.0,472,2516.3817
10.0,728,2724.378865
8.0,589,2726.172867
5.0,410,2727.386867
6.0,479,2728.804868
6.0,473,2730.202867
5.0,442,2731.454867
10.0,673,2733.546866
4.0,366,2734.646867
9.0,665,2736.738866
10.0,712,2739.006866
6.0,463,2740.366868
4.0,454,2741.754865
8.0,610,2743.650868
8.0,601,2745.496868
7.0,550,2747.218864
7.0,537,2748.824867
3.0,335,2749.816865
7.0,515,2751.368865
8.0,524,2957.688114
6.0,518,2959.238117
11.0,718,2961.474114
5.0,398,2962.598113
7.0,592,2964.442116
6.0,539,2966.024115
13.0,734,2968.318116
7.0,614,2970.142115
4.0,401,2971.392116
10.0,715,2973.686114
7.0,576,2975.406115
4.0,428,2976.698114
6.0,467,2978.096115
6.0,507,2979.718116
9.0,703,2981.898113
8.0,599,2983.700114
8.0,558,3188.881876
6.0,480,3190.345882
7.0,568,3192.129876
7.0,508,3193.653877
5.0,447,3195.007876
5.0,440,3196.275877
3.0,332,3197.185878
4.0,362,3198.259876
12.0,811,3200.777873
9.0,641,3202.737877
5.0,399,3203.903877
7.0,560,3205.607876
6.0,506,3207.145876
14.0,930,3210.095876
7.0,524,3211.605876
10.0,731,3213.815876
9.0,492,3215.301874
9.0,631,3423.8211
6.0,512,3425.325098
8.0,544,3427.0271
9.0,660,3429.114733
10.0,736,3431.416737
9.0,615,3433.260733
5.0,495,3434.722733
3.0,353,3435.784735
8.0,594,3437.662735
16.0,744,3440.012734
8.0,409,3441.188735
12.0,631,3443.098735
9.0,639,3445.010733
4.0,365,3446.104734
7.0,573,3447.812734
3.0,347,3448.722733
8.0,638,3450.674735
9.0,633,3653.530687
5.0,490,3655.008688
4.0,375,3656.088688
5.0,446,3657.464687
13.0,719,3659.714686
7.0,579,3661.424687
10.0,705,3663.558846
9.0,604,3665.354845
12.0,833,3667.998844
9.0,637,3669.922844
10.0,678,3672.056844
5.0,452,3673.448845
8.0,625,3675.410844
7.0,566,3677.142847
7.0,529,3678.702843
7.0,542,3680.282847
10.0,694,3883.899236
7.0,548,3885.567235
10.0,750,3887.899232
13.0,719,3890.177236
7.0,548,3891.803235
10.0,708,3894.013236
9.0,650,3896.027235
3.0,356,3896.973233
6.0,485,3898.413234
9.0,638,3900.407237
11.0,732,3902.721233
2.0,279,3903.429238
5.0,417,3904.673235
8.0,564,3906.349236
7.0,568,3908.061235
3.0,319,3908.993235
4.0,398,3910.087234
17.0,886,4115.76992
5.0,491,4117.197922
9.0,597,4119.067923
3.0,334,4119.98192
7.0,521,4121.499921
5.0,469,4122.93592
8.0,622,4124.827922
11.0,728,4127.121923
10.0,730,4129.393919
8.0,627,4131.335923
9.0,626,4133.32192
8.0,594,4135.139922
11.0,396,4136.30592
7.0,550,4137.961922
3.0,356,4138.993925
3.0,338,4139.893921
8.0,445,4141.19192
8.0,602,4349.568064
7.0,571,4351.30407
16.0,809,4353.868064
10.0,747,4356.226064
8.0,584,4358.008062
9.0,451,4359.306063
7.0,508,4360.862065
8.0,646,4362.812063
12.0,761,4365.218069
11.0,742,4367.500064
12.0,631,4369.416064
7.0,534,4371.018064
10.0,709,4373.196064
9.0,658,4375.232066
8.0,623,4377.184064
4.0,394,4579.325616
8.0,611,4581.255614
10.0,711,4583.4897
7.0,500,4584.99439
6.0,491,4586.420392
11.0,700,4588.530388
9.0,713,4590.810388
6.0,467,4592.168392
9.0,706,4594.320388
10.0,705,4596.460389
7.0,410,4597.656389
10.0,684,4599.826389
7.0,571,4601.552388
7.0,598,4603.348732
7.0,569,4605.030731
11.0,624,4807.749308
13.0,700,4810.011304
8.0,650,4811.969306
5.0,470,4813.345304
7.0,524,4814.861302
5.0,488,4816.343304
4.0,416,4817.553302
7.0,564,4819.277305
9.0,598,4821.023307
9.0,630,4823.063304
6.0,564,4824.787302
3.0,330,4825.757305
7.0,533,4827.375305
5.0,444,4828.65931
9.0,694,4830.777304
9.0,690,4832.861305
6.0,454,4834.253302
8.0,634,5036.719162
6.0,488,5038.191162
8.0,590,5040.029161
6.0,502,5041.583162
11.0,669,5043.677161
9.0,693,5045.759164
4.0,390,5046.799161
9.0,668,5048.861161
7.0,555,5050.557166
7.0,563,5052.267162
11.0,757,5054.565163
6.0,525,5056.129164
9.0,497,5057.651163
10.0,700,5059.751164
10.0,681,5061.795163
9.0,695,5063.975162
6.0,471,5271.837715
12.0,583,5273.657715
7.0,559,5275.309714
5.0,431,5276.651715
2.0,297,5277.493716
6.0,517,5279.075717
3.0,315,5279.943714
4.0,413,5281.143717
14.0,602,5282.997715
12.0,631,5284.923716
13.0,696,5287.125715
9.0,657,5289.127714
5.0,458,5290.490557
7.0,532,5292.148556
5.0,426,5293.346559
8.0,672,5295.448557
8.0,565,5297.222557
11.0,772,5299.638556
2.0,264,5500.719552
8.0,422,5501.99555
6.0,511,5503.533551
6.0,495,5505.063551
6.0,485,5506.50755
10.0,555,5508.185553
8.0,580,5509.953551
12.0,780,5512.34155
6.0,575,5514.081548
8.0,597,5515.883551
7.0,574,5517.61955
5.0,441,5518.947549
8.0,622,5520.855548
8.0,592,5522.599548
8.0,628,5524.52555
8.0,643,5526.45955
14.0,808,5730.131241
5.0,467,5731.535243
12.0,757,5733.961241
3.0,325,5734.901242
5.0,464,5736.277245
9.0,601,5738.125245
8.0,628,5740.067246
6.0,490,5741.529243
8.0,552,5743.243242
10.0,724,5745.463243
6.0,491,5746.955242
15.0,839,5749.583242
8.0,551,5751.273243
8.0,550,5752.943247
7.0,563,5754.673244
13.0,747,5756.981242
13.0,746,5961.561573
13.0,832,5964.179573
8.0,585,5966.019572
7.0,521,5967.587571
8.0,642,5969.521575
7.0,489,5970.967572
6.0,522,5972.633575
9.0,591,5974.429573
4.0,380,5975.565575
8.0,552,5977.189571
6.0,468,5978.619573
5.0,431,5979.835572
7.0,556,5981.53757
7.0,568,5983.253572
9.0,595,5985.093573
12.0,665,5987.049571
6.0,452,5988.467207
8.0,558,6197.862727
6.0,511,6199.408729
14.0,728,6201.660731
7.0,555,6203.284731
10.0,698,6205.39873
6.0,469,6206.822727
9.0,578,6208.536728
7.0,604,6210.394727
12.0,745,6212.650727
9.0,661,6214.642735
9.0,683,6216.796729
7.0,520,6218.380727
4.0,381,6219.490729
11.0,570,6221.22073
15.0,855,6223.920729
12.0,768,6428.026323
9.0,619,6429.894327
9.0,645,6431.906325
6.0,486,6433.356327
8.0,601,6435.206326
6.0,491,6436.716099
7.0,542,6438.3481
6.0,555,6440.040101
12.0,783,6442.512101
16.0,823,6445.126097
11.0,723,6447.334101
16.0,881,6450.056099
15.0,873,6452.836098
10.0,724,6657.059699
9.0,649,6659.043699
8.0,581,6660.869697
7.0,372,6661.869698
6.0,498,6663.341699
9.0,677,6665.375701
8.0,578,6667.145699
7.0,571,6668.8957
8.0,633,6670.883698
5.0,462,6672.267697
7.0,548,6673.877698
10.0,519,6675.4457
6.0,513,6676.933697
10.0,681,6679.009701
9.0,621,6680.939696
11.0,741,6683.315696
9.0,753,6887.828153
14.0,954,6890.848161
6.0,515,6892.344154
7.0,586,6894.092153
6.0,493,6895.486153
8.0,558,6897.186159
17.0,776,6899.57015
16.0,700,6901.752151
5.0,501,6903.260153
7.0,549,6904.868154
6.0,505,6906.422159
11.0,735,6908.682151
7.0,528,6910.254153
4.0,385,6911.404152
11.0,757,6913.76415
9.0,627,7124.876361
14.0,891,7127.750362
8.0,613,7129.604364
9.0,606,7131.500361
10.0,759,7133.790361
6.0,540,7135.440361
15.0,978,7138.542363
8.0,582,7140.288363
7.0,569,7141.964363
7.0,524,7143.486362
8.0,590,7145.230362
16.0,876,7148.022362
13.0,846,7150.670367
